Name,Type,Group,!Active,Instruction,Rating,RatingCount,text
You Choose,Trust Exercises,Medium (15-30 ppl),Passive,Write a list of possible activities/outcomes on flip-chart paper.Using a marker invite each person in your group to mark a tick next to a limited number of options eg a maximum of three.The option(s) that receives the most number of votes is recorded as the favourite.,0.0,0,choose choose trust trust exercises exercises medium medium 15 15 30 30 ppl ppl passive passive
As If…,Trust Exercises,Small (8-15 ppl),Passive,Form pairs.Ask each person to stand and face about 2 metres away from the other.Instruct each person walk towards their partner ‘as if…’ they were acting out a particular role eg long-lost friend.When ready invite all partners to interact for approx 60 seconds.Take a minute to invite your group to reflect on what happened and what they observed during the round.Next instruct each person to engage in a second round this time acting as if they were playing a different role eg two family members who had a heated argument yesterday seeing each other the next day.Allow approx 60 seconds of interaction then pause and reflect again.Finally instruct each person to engage in a third round this time acting as if they were a different role/person (see Variations tab for many options.)Allow for 60 seconds of interaction then pause and reflect on what transpired.If time allows invite your group to reflect on what lessons could be learned from this exercise that applies to their lives.,0.0,0,trust trust exercises exercises small small 8 8 15 15 ppl ppl passive passive
Name That List,Team Puzzles,Small (8-15 ppl),Passive,Form small groups of 2 to 5 people.Distribute paper and pen to each group.Announce a particular grouping or category eg the twelve zodiac signs.Challenge each group to list every one of the items in the category.The first group to list all items correctly wins.,0.0,0,name name list list team team puzzles puzzles small small 8 8 15 15 ppl ppl passive passive
Taboo,Fun Games,Mini (3–8 ppl),Passive,"In advance write four objects on a large sheet of paper.Invite one volunteer to stand in front of the group.Asking the volunteer not to look pin the sheet of paper to a wall behind them so that the rest of group can see the objects written on it.Challenge your group to help the volunteer correctly guess the names of all four objects in less than 60 seconds.Explain the following three parameters to govern fair play:
– Only verbal forms of communication can be used ie no hand gestures or motions;
– The group can not mention the name of the object nor any part of it; and
– No ‘sounds-like’ or rhyming words can be used.If one or more of these parameters are broken issue an appropriate penalty eg disqualify that round.Play two or more rounds with a new set of words and volunteer for each round.",0.0,0,taboo taboo fun fun games games mini mini 3 3 8 8 ppl ppl passive passive
Mighty Wind,Energisers,Small (8-15 ppl),Active,Divide your group into two (or more) teams.Within a large open space designate a goal area for each team.Supply each person with a fan of some type eg paper plate cardboard folder fly swatter.For each team place one (or more) table tennis balls at opposite ends of the space from their goal.When ready each team uses the wind of their fans to blow their table tennis ball(s) to their designated goal.Nothing (person or fan) is permitted to touch a table tennis ball at any time.Players from an opposing team are permitted to alter the course of the other team’s ball(s) but never touch it or another person.Play two or more rounds of fives minutes each.Acknowledge the team with the most number of goals.,0.0,0,mighty mighty wind wind energisers energisers small small 8 8 15 15 ppl ppl active active
Album Cover,Reflection,Mini (3–8 ppl),Passive,Distribute large sheets of paper and markers/pens to each individual or small groups.If necessary re-shape the paper into a square.Instruct each person (or group) to design and create a colourful music album cover featuring images album cover title and song names.Guide your group to create images and titles that reflect the story of their unique experience.Allow ample time for reflection and production of artwork.Invite one or more people to share their artwork and titles with the whole group.,0.0,0,album album cover cover reflection reflection mini mini 3 3 8 8 ppl ppl passive passive
Year Of The Coin,Ice-Breakers,Small (8-15 ppl),Passive,Randomly distribute a collection of coins to your group one per person.Ask each person to identify the year of the coin embossed on the coin.Taking turns invite each person to share a story about something that they experienced in that year.If the year occurs before the birth of the person holding the coin invite them to share something they can remember about that year in history.Continue until everyone has shared.,0.0,0,year year coin coin ice ice breakers breakers small small 8 8 15 15 ppl ppl passive passive
We Connect Cards,Ice-Breakers,Medium (15-30 ppl),Active,Randomly distribute one We Connect Card to every person in your group.Ask everyone to form a pair by seeking another person holding the same coloured card.Invite these pairs to share their responses to the questions on one or both cards.When ready instruct each person to swap cards and find a new partner to repeat the process.Continue playing for up to 10 minutes and/or try a variation.,0.0,0,connect connect cards cards ice ice breakers breakers medium medium 15 15 30 30 ppl ppl active active
Pretty Darn Quick,Tag & PE Games,Mini (3–8 ppl),High Energy,"Gather three to ten people in a circle.One person nominates themselves as the leader (number #1) and assigns a number to every other person in the circle to establish the order of play.The leader calls “PDQ” which causes everyone to jump back out of the circle.The primary aim for each person is to remain in the game as long as possible by tagging the feet of others while also avoiding being tagged.A person may be eliminated in one of three ways:
– The top of their foot (shoe) is tagged by (the foot of) a person taking their turn;
– They move in anticipation of the person taking their turn faking a jump; or
– They jump out of sequence of the order of play ie person #4 jumps before person #3 takes their turn.When a person is tagged they exit the game.Play continues until the last person standing wins the game.The winner becomes the leader to start the next game.",0.0,0,pretty pretty darn darn quick quick tag tag pe pe games games mini mini 3 3 8 8 ppl ppl high high energy energy
Push Catch,Energisers,Small (8-15 ppl),Active,Form a circle with one person (facilitator) standing in the centre.Equip the middle person with a ball.Instruct the middle person to pass/throw the ball to any person in the group while calling one of two instructions “PUSH” or “CATCH.”Challenge the person receiving the ball to do the opposite of the instruction eg catch the ball if the middle person calls “PUSH.”If the action of the person receiving the ball matches the command they are eliminated and will remove themselves from the circle.If the person receiving the ball successfully performs the opposite action they may remain in the game and pass the ball back to the middle person.This process of passing the ball calling instructions and responding continues multiple times.The game continues until there one last person is declared the winner.,0.0,0,push push catch catch energisers energisers small small 8 8 15 15 ppl ppl active active
Card Talk,Ice-Breakers,Medium (15-30 ppl),Passive,Lay a deck of playing cards face-up in front of your group.Invite each person to select one card from the deck on the basis of how brave they are feeling.If they are feeling brave they may choose a high-value card or if they would prefer to play it safe they may choose a low-value card.Once every person has taken a card invite them to find a partner (see Getting into Pairs for ideas.)Instruct each person to share as many things about themselves according to the value of their card ie a person with a Two will share two things while their partner holding a Jack will share ten things.Invite each person to interact with as many different partners as they can within the allotted time frame eg 10 minutes.,0.0,0,card card talk talk ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
101 Line-Up Ideas,Team Puzzles,Large (30+ ppl),Passive,Gather your group.Choose an option from the list of 100 Line-Up Ideas described in the How to Play Narrative tab eg alphabetical order by middle name or favourite book by title etc.Instruct your group to form one straight line according to this particular sequence.Allow up to a minute for your group to complete the task.Embrace this line of people to launch into your next activity.Or try a new line-up variation to change the formation of the line.,0.0,0,101 101 line line ideas ideas team team puzzles puzzles large large 30 30 ppl ppl passive passive
Hourglass,Challenge Course,Mini (3–8 ppl),Physically Challenging,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Divide into teams of 3 people with one (traversing) participant and a minimum of 2 spotters taking turns.Objective: Challenge each individual to traverse (from one end to the other) as far as possible using the two ropes for support.A traversing participant must have at least two spotters one on each side of the cable and positioned a half-step back from the side of the participant.As in all traversing elements spotters will move with the participant.When a participant steps off or falls from the cable invite them to have another attempt or swap with another person.Allow as many attempts as possible within your allotted time frame.Process your group’s experience at the conclusion of the task.,0.0,0,hourglass hourglass challenge challenge course course mini mini 3 3 8 8 ppl ppl physically physically challenging challenging
Snowball Toss,Reflection,Small (8-15 ppl),Passive,Distribute a sheet of paper and a pen to each person in your group.Instruct each person to write a thought on the paper in regards to a particular topic you wish to explore eg what frustrates you or causes you stress.When ready invite each person to crumple their piece of paper.Ask a question in regards to the thoughts which were written on the paper eg what would you like to do with these frustrations? For example your group may respond that they want to remove these thoughts.Invite your group to toss their collective crumpled papers around the room for 20-30 seconds.Instruct each person to collect a random ‘snowball’ and in turn read the thought written on it to the rest of the group.Invite your group to reflect and discuss these thoughts as appropriate/required.,0.0,0,snowball snowball toss toss reflection reflection small small 8 8 15 15 ppl ppl passive passive
Tension Traverse,Challenge Course,Mini (3–8 ppl),Physically Challenging,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Divide into teams of 3 to 5 people with one (traversing) participant and a minimum of 2 spotters taking turns.Objective: Challenge each individual to traverse as far along the foot cable as possible using the hand rope for support.A traversing participant must have at least two spotters one on each side of the cable and positioned a half-step back from the participant towards the starting point.As in all traversing elements spotters will move with the participant.When a participant steps off or falls from the cable invite them to have another attempt or swap with another person.Allow as many attempts as possible within your allotted time frame.Process your group’s experience at the conclusion of the task.,0.0,0,tension tension traverse traverse challenge challenge course course mini mini 3 3 8 8 ppl ppl physically physically challenging challenging
Trolleys,Challenge Course,Small (8-15 ppl),High Energy,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Clearly identify a uniformly flat area with a starting line and finishing line (approx 10 to 15 metres apart.)Lay the trolleys behind the starting line.Objective: Challenge your group to use the wooden trolleys to travel from the starting line and past the finishing line without anyone touching the ground.If one or more participants touch the ground apply a suitable penalty (go to Leadership Tips tab for ideas.)When ready allow up to 20 minutes to complete the task (or other time as will challenge your group.)Process your group’s experience at the conclusion of the task.,0.0,0,trolleys trolleys challenge challenge course course small small 8 8 15 15 ppl ppl high high energy energy
Over There,Team-Building,Mini (3–8 ppl),Active,In advance select one suit of cards (13 cards) from a deck of playing cards.Lay these cards face-down randomly on the ground within a specified (roped) perimeter.Invite your group to stand on the outside perimeter.Challenge your group to pick up all of the cards in sequence from 2 through to Ace flipping one card at a time as quickly as possible.The group is permitted to have one person inside the perimeter at any point in time.When a card is picked up if it is not the next card in the sequence it must be placed back down.Otherwise the person inside the perimeter will collect and keep the card.Team members are entitled to assist their colleague inside the perimeter eg point talk etc.The task continues until all cards have been picked-up in order.Repeat the task several times aiming to record the fastest possible time.,0.0,0,team team building building mini mini 3 3 8 8 ppl ppl active active
Flip Over Ten,Team-Building,Mini (3–8 ppl),Active,In advance select ten cards from a regular deck representing Ace (one) to Ten.Randomly lay these ten playing cards face-down on a table/ground.Assemble your group about 5 to 10 metres away from the cards standing behind a line.Instruct your group to flip over all of the cards one at a time in order from Ace to Ten.Only one person is permitted to move forward of the line and flip one card at a time.If the value of the card revealed is the next card in the sequence (the first card must be the Ace) it may remain face-up. Otherwise the card must be flipped face-down in the same spot.This process continues with each person taking turns to flip over one card before returning behind the line.Encourage each person in the group to flip a card once before anyone can flip a second card.Challenge your group to complete the task in the quickest time possible.Invite your group to play one or more rounds to continuously improve their performance.,0.0,0,flip flip ten ten team team building building mini mini 3 3 8 8 ppl ppl active active
Unofficial Start,Ice-Breakers,Medium (15-30 ppl),Passive,Prepare any necessary props in advance.Introduce your chosen activity or experience before your program officially starts.Invite participants as they arrive to engage in the activity and/or with others.Deliver your official start when ready.,0.0,0,unofficial unofficial start start ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
Human Boggle,Team Puzzles,Small (8-15 ppl),Passive,In advance visit the Resources tab to download a set of Print+Play alphabet letter cards or make/collect your own.Place the set of alphabet cards face-down on the floor.Form two or more teams of 2 to 6 people.Instruct each team to nominate a runner.To begin ask each runner to randomly select 9 cards from the pile.Lay all 9 cards in a 3 x 3 grid in front of their team.If no vowels are present in the grid a team may turn any one of their nine cards over to become a vowel as nominated by you (the facilitator.)When ready challenge each team to identify as many words as possible using the letters in the grid.Words can only be formed by tracing letters that are situated horizontally vertically or diagonally next to the letter before it.Allow three to four minutes of play.The team that forms the most number of words wins that round.Play two or more rounds shuffling the letters between each round or try a variation.,0.0,0,human human boggle boggle team team puzzles puzzles small small 8 8 15 15 ppl ppl passive passive
Capture The Flags,Fun Games,Medium (15-30 ppl),Active,Identify a very large open outside space and divide it into two roughly-even halves.Form two teams and allocate each team one half of the area as their ‘safe’ zone.Supply each team with an equal number of flags a bunch of soft tossables and one bucket.Instruct each team to place their set of identifiable flags inside the bucket at the rear of their safe zone.When ready invite each team to retrieve all of their opponent’s flags and place them inside their own bucket.Announce that people may be eliminated by (a) being tagged within their opponent’s safe zone or (b) being hit by a soft tossable in their own safe area.If a person holding a flag is eliminated the flag must immediately be dropped to the ground.Any flag or soft tossable which is lying on the ground may be picked up by any team member.All eliminated people will be invited to observe the continuing action from the sidelines.Play for 20 to 40 minutes depending on the size of your group and the wide area being used.The first team to successfully retrieve all of their opponent’s flags or eliminate all of their opponent’s members wins.,0.0,0,capture capture flags flags fun fun games games medium medium 15 15 30 30 ppl ppl active active
Bum Steer,Ice-Breakers,Small (8-15 ppl),Passive,Pass a roll of toilet paper to each person in your group asking them to tear off as much as they think they will need to use during the course of your session/program.Once everyone has collected their share of the roll announce that this task was in fact a sneaky way of inviting people to share more about themselves.Instruct each person to share one piece of information about themselves for every single sheet (square) of toilet paper they are holding.Invite people to take turns around the circle or randomly when ready to share.,0.0,0,bum bum steer steer ice ice breakers breakers small small 8 8 15 15 ppl ppl passive passive
Tenzi,Fun Games,Medium (15-30 ppl),Active,Randomly distribute one dice (or die) to each person.Form two or more teams of at least six people gathered in a circle.When ready instruct everyone to roll their own dice (in the middle of their group) on the floor or a table.As soon as an individual rolls a ‘1’ they may stop rolling (leaving their dice in front of them) and wait for the rest of their group to roll a ‘1.’When everyone has rolled a ‘1’ instruct each person to stand up and spin around ‘one’ time on the spot.Next each person rolls their dice attempting to throw a ‘2.’When everyone has rolled a ‘2’ each person in the group will stand up and spin around ‘two’ times.This process continues with everyone in the group rolling a 3 4 5 and 6 and spinning the required number of times.Thus the final round will require everyone to roll a ‘6’ and then spin around ‘six’ times on the spot.The first group to complete this task wins.,0.0,0,tenzi tenzi fun fun games games medium medium 15 15 30 30 ppl ppl active active
Pressure Cooker,Team-Building,Small (8-15 ppl),Active,In advance lay a long rope on the floor/ground to form a large circle.Collect and number as many spot markers as you have people in your group.Randomly distribute the numbered spot markers inside the circle.Ask each person to stand on top of one of the spot markers.When ready instruct each individual to move to and touch every other spot in the ascending order of the numbers.For example the person standing on spot #8 will move to 9 10 11 and 12 (presuming there are 12 people in the group) before moving to 1 2 3 through to 8.As soon as an individual has touched all of the spot-markers and returns to their own they will exit the circle.Challenge your group to perform this task as accurately and as fast as possible.Furthermore challenge your group to solve this problem without stepping outside of the (roped) circle or touching any other person in the process (touching elsewhere within the circle is permitted.)Encourage your group to make as many attempts as possible within a specified time period aiming to improve their performance with each attempt.Allow ample time for planning and problem-solving.,0.0,0,pressure pressure cooker cooker team team building building small small 8 8 15 15 ppl ppl active active
Instigator,Energisers,Medium (15-30 ppl),Active,Gather your group in a large open space.Invite one person to act as the ‘Bunny’ and ask them to either leave the space or close their eyes so that they do not witness what’s about to happen next.Invite a second person to be chosen or volunteer to become the ‘Instigator.’When ready ask your group to start walking randomly about the area.At the same time ask the Instigator to start making specific and deliberate moves inviting the rest of your group to mimic their moves as quickly and accurately as possible.At this point ask the Bunny to return to the space (or open their eyes) and begin to observe the group.Encourage the Instigator to alter their moves or actions frequently ie every 10 seconds or so.Over the course of the next minute or two challenge the Bunny to identify the Instigator within 4 attempts.Once the Instigator has been identified choose a new Instigator and Bunny to play a new round.Continue play for many rounds.,0.0,0,instigator instigator energisers energisers medium medium 15 15 30 30 ppl ppl active active
Keyboard,Team-Building,Small (8-15 ppl),Passive,"In advance visit the Resources tab to download a set of Print+Play alphabet letter cards or make your own.Distribute one set of alphabet letters/cards (26) to each small team of 4 to 8 people.Initially challenge each team to lay these letters on the ground/floor to construct a large-scale computer keyboard ie from memory.Allow each team ample time to discuss and solve the task.When ready ask each team to move to an area approx 10 metres away from their keyboard.Announce that you will soon provide each team with a ten-letter word to be ‘typed’ using their keyboard.Challenge each team to ‘type’ this word as accurately and as fast as possible.To govern fair play explain that to successfully type the word each team:
– Must remain behind the designated line at all times;
– One person at a time (in rotation) is permitted to move to the keyboard and ‘type’ the word by touching one of the letters; and
– The letters must be touched in the correct sequence.Play several rounds inviting each team to continuously improve their time.To further challenge your group try a variation.",0.0,0,keyboard keyboard team team building building small small 8 8 15 15 ppl ppl passive passive
Four-Letter Word,Team Puzzles,Medium (15-30 ppl),Passive,"In advance visit the Resources tab to download a set of Print+Play alphabet letter cards or make/collect your own modelled on the letter tiles of the commercial board game Scrabble.Randomly distribute one (or two) cards to each person in your group.Present a series of activities that invite your group to interact share and solve problems.For example form a:
– Straight line according to the alphabetic order of the cards;
– Small groups of vowels and consonants;
– Small groups that spell a four five or six-letter word repeating this challenge several times;
– Short phrase or sentence using the words created by your group.Invite people to share on regular occasions in their small groups.Try a variation to continue to challenge your group.",0.0,0,four four letter letter word word team team puzzles puzzles medium medium 15 15 30 30 ppl ppl passive passive
Walk & Lean,Trust Exercises,Pairs (2 people),Physically Challenging,Forms pairs.Instruct one person to commit to ‘spotting’ their partner’s movements at all times.Instruct the ‘spotter’ to remain ready and behind their partner no matter where they move.Without notice invite the walker to stop walking and then lean backwards on several occasions.Instruct the walker to only lean backwards from a stationary/stopped position.Alert the walking/leaning partner to be prepared to support oneself at all times.Ask partners to swap roles every 30 seconds.Swap partners and repeat.,0.0,0,walk walk lean lean trust trust exercises exercises pairs pairs 2 2 people people physically physically challenging challenging
Islands,Challenge Course,Small (8-15 ppl),Active,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Lay three wooden platforms (islands) about 2 to 3 metres apart on a flat surface in front of your group.Supply your group with 1 or 2 wooden boards.Objective: Challenge your group to move from the first to last platform without any participant or the wooden board(s) touching the ground.Participants are not permitted to jump from platform to platform.If a board or a person touches the ground apply a suitable penalty eg restart the exercise.Allow up to 20 minutes to complete the task (or other time as will challenge your group.)Process your group’s experience at the conclusion of the task.,0.0,0,islands islands challenge challenge course course small small 8 8 15 15 ppl ppl active active
Big Ups,Energisers,Small (8-15 ppl),High Energy,Form pairs preferably similar-sized people.Instruct one person to position their arms by the side of their body arms bent at 90 degrees at the elbow pointing forward and palms facing up.Invite their partner to stand similarly but with their palms facing down.Instruct this second person to stand facing their partner placing their forearms and hands directly onto and gripping their partner’s forearm.When ready the person whose palms are facing down will jump up as they push downwards onto the arms of their partner at the same time the latter pushes up.Repeat this task several times to develop the skill coordination and rhythm to perform higher and higher vertical jumps.Swap roles.Continue for several minutes and/or swap partners.,0.0,0,big big ups ups energisers energisers small small 8 8 15 15 ppl ppl high high energy energy
Take Two,Team Puzzles,Mini (3–8 ppl),Passive,"Prepare a set of alphabet cards modelled on the letter tiles of the commercial board game Scrabble (see Resources tab.)Place all of the cards in a central pile face-down on a flat surface eg table or floor.Form teams of 2 to 4 people.Ask one person from each team to collect 7 letters (cards or tiles.)Every group is permitted to view their letters.Challenge each group to be the first to successfully use all of their letters to form a series of interconnected words ie similar to Scrabble.The typical rules of Scrabble apply ie no nouns pronouns contractions abbreviations or acronyms are permitted.Announce three unique parameters to add pace to the game:
– Each group applies their words to an independent ‘board;’
– Groups are entitled to change the formation of their words at any time; and
– When a group successfully uses all of their letters to form a series of interconnected words they will call “TAKE TWO” which requires every group to take two new random letters from the central pile.This process continues (integrating new letters at frequent intervals) until all of the letters have been taken from the central pile.Play continues until when one group announces that they are the first to use all of their letters.Allow a few moments for each group to observe what other groups created.Play two or more rounds or introduce a new variation.",0.0,0,take take two two team team puzzles puzzles mini mini 3 3 8 8 ppl ppl passive passive
Octopus Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Gather your group to stand on one side of a large wide playing space.Each person aims to run to the opposite side and back as many times as possible without being tagged.Invite a volunteer to stand in the middle of the space (the Octopus) whose goal is to tag as many of the rest of the group as they can.When ready the Octopus will call “GO” urging the group to run to the other side.Each person who is successfully tagged by the Octopus will become a part of the tagging team.New members of the tagging team will be restricted to tag others from the spot they were tagged.The original Octopus is entitled to move anywhere at all times.Play continues until all members of the group are tagged.,0.0,0,octopus octopus tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Whale Watch,Challenge Course,Small (8-15 ppl),Active,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Objective: Challenge your group to use their weight to balance the platform so that the ends do not touch the ground for a period of ten seconds.If the platform touches the ground invite your group to start over.All participants start on the platform.Hands are not permitted to make contact with the platform at any time.When ready allow up to 15 minutes to complete the task (or other time as will challenge your group.)Process your group’s experience at the conclusion of the task.,0.0,0,whale whale watch watch challenge challenge course course small small 8 8 15 15 ppl ppl active active
Letter Connection,Ice-Breakers,Medium (15-30 ppl),Passive,In advance visit the Resources tab to download a set of Print+Play alphabet cards or create your own.Randomly distribute one or two alphabet cards to each person in your group.Announce the first of a series of categories to invite each person to find a partner or small group that shares something in common.For example find one person or a small group (no more than three people) who are holding the same type of letter as you are (vowel or consonant.)Once paired pose a question and invite each person to share their response with their partner(s.)Announce a new category or apply the same category a second time to invite your group to interact and swap partners.Continue these opportunities to interact and share with one or more variations.,0.0,0,letter letter connection connection ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
Starts With,Reflection,Medium (15-30 ppl),Passive,Distribute one (or two) alphabet cards to each person in your group.Invite each person to form into pairs or small groups of 3 to 5 people.Announce one of a series of topics or categories connected to your group’s experience eg a skill highlight strength limitation etc.Using one of their alphabet cards ask each person to share as many words as they can that starts with this letter to reflect something about their experience.Allow 1 to 2 minutes for each person to share.Repeat with one or more perhaps more challenging topics.,0.0,0,starts starts reflection reflection medium medium 15 15 30 30 ppl ppl passive passive
G-H-O-S-T,Fun Games,Mini (3–8 ppl),Passive,Form one or more circles of two to six people.Ask one person to volunteer and say one letter of the alphabet eg Y.Explain that each successive person will be invited to add a new letter to the end of an ever-expanding string of letters without forming a real word.However this rule does not apply to the first three letters but this string of letters must still form a fragment of a real word eg Y-O-U is a fully-formed real word but is permissible because it consists of three letters.From this point forward challenge your group to add one letter (at the end of the string) at a time without spelling a fully-formed real word.When an individual adds a letter that spells a real word the round concludes and they earn one of the five letters of G-H-O-S-T.When a person loses five rounds (and earns all five letters) they are eliminated from the game.At any time an individual may challenge the player before them to inform the group what possible word could be formed by the string of letters they have just added to with their nominated letter.If the person being challenged mentions a real word the challenger loses that round.If the person being challenged cannot form a real word ie they were bluffing they lose the round.If someone is bluffing and is not challenged play continues.New rounds start with the person who lost the previous round.Play continues until one person in the group remains.,0.0,0,g g h h fun fun games games mini mini 3 3 8 8 ppl ppl passive passive
Stick Around,Team-Building,Mini (3–8 ppl),Active,Locate access to a wide solid and non-painted wall.Divide your group into small teams of 3 to 6 people.Distribute a small roll of duct tape to each team.Challenge each team to suspend and/or attach one of their team members to the wall (off the ground) using the duct tape only.Announce that the person must be suspended for at least 10 seconds to be successful.No other props are permitted to help the team accomplish this task.Allow 10 to 15 minutes for planning and execution.If possible invite your group to reflect on what happened during the exercise.,0.0,0,stick stick around around team team building building mini mini 3 3 8 8 ppl ppl active active
The Wall,Challenge Course,Small (8-15 ppl),Physically Challenging,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Ask your group to stand on one side (smooth-face) of the wall.Objective: Challenge your group to pass every member of their team over the wall as quickly and as safely as possible.For safety purposes team members can position themselves as spotters on either side of the wall at any time ie when a participant is actively being passed over the wall everyone is a spotter.No more than four people are permitted on top of the wall at any time including the person being passed.Any person who is off the ground (including those positioned on the wall) must have at least one person spotting them at all times.Allow up to 20 minutes to complete the task (or other time as will challenge your group.)Process your group’s experience at the conclusion of the task.,0.0,0,wall wall challenge challenge course course small small 8 8 15 15 ppl ppl physically physically challenging challenging
Marshmallow River,Team-Building,Small (8-15 ppl),Active,In advance randomly distribute dozens of ‘marshmallows’ between two lines spaced about 10-15 metres apart.Place many ‘marshmallows’ close enough so that people can step from one to another easily.Gather your group behind a line identified as the Start zone.Challenge your group to traverse the area between the two lines by stepping only on the marshmallows.Invite individuals to traverse the area first using any path they choose.If a person happens to touch the area outside of the marshmallows invite them to restart.Next invite two people to cross together while keeping physical contact at all times.Again if someone touches the ‘no-go’ zone invite the pair to restart.Finally form small teams of 4 to 6 people.Challenge these teams to cross the area together while keeping constant physical contact.In conclusion invite your group to reflect on their experience in terms of how they offered and received support.,0.0,0,marshmallow marshmallow river river team team building building small small 8 8 15 15 ppl ppl active active
Ghost,Fun Games,Small (8-15 ppl),Passive,Identify approximately 1 out of every 8 people in your group to be ‘ghosts.’Ask the ghosts to stand aside for a few moments.Invite the rest of your group to randomly distribute themselves throughout a specified area then stand still and close their eyes.Challenge the ghosts to eliminate as many of the others in the group by attempting to stand directly behind one person (at a time) for 10 or more seconds.If a ghost can remain undetected for 10 seconds they are entitled to tap the person gently on their shoulders to announce their presence (to eliminate that person.)If the presence of a ghost is detected in advance the unsighted person will call “IS THERE A GHOST BEHIND ME?”If the call is correct these two people swap roles otherwise the accuser is eliminated.Continue play until everyone has been eliminated or the time limit for the ghosts to perform their task has expired.,0.0,0,ghost ghost fun fun games games small small 8 8 15 15 ppl ppl passive passive
Talking Behind Your Back,Trust Exercises,Small (8-15 ppl),Passive,Distribute an index card and a pen or marker to each person.Instruct each person to write their name on top of their card.Tape or pin these cards to the back of their owner.Instruct everyone to mingle with as many people in the group and write a short affirming comment about that person on their index card.If you choose instruct people to write their comments anonymously.Allow 5 to 10 minutes of interaction.When ready invite each person to remove their card and read the comments.,0.0,0,talking talking behind behind back back trust trust exercises exercises small small 8 8 15 15 ppl ppl passive passive
Block Bridge,Team-Building,Pairs (2 people),Active,Form pairs.Distribute two wooden blocks per person.Instruct each partnership to lay these four blocks in one straight line on the ground/floor.Challenge each pair to lift this ‘bridge’ above their heads using one fingertip each on the end of the blocks and return it to the ground/floor without breaking the bridge.With each successful attempt invite each pair to add two more blocks to their bridge and repeat the challenge.Allow ample time for planning and continuous improvement.Continue this challenge for at least 15 to 20 minutes.If possible invite your group to reflect on what was learned during this exercise.,0.0,0,block block bridge bridge team team building building pairs pairs 2 2 people people active active
Synchro Clap,Energisers,Small (8-15 ppl),Active,Form a circle including yourself.Turn to one of your neighbours and ask them to clap their hands at exactly the same time as you eg “1 2 3 clap!”Next invite this person to turn to their neighbour and perform exactly the same task.Instruct your group to continue this synchronistic clapping in pairs one at a time all the way around the circle.Challenge your group to perform this task a second time maintaining a consistent rhythm.Repeat a couple of times in different directions.Move on or try a variation.,0.0,0,synchro synchro clap clap energisers energisers small small 8 8 15 15 ppl ppl active active
Come To Your Senses,Health & Wellness,Medium (15-30 ppl),Passive,Visit the Resources tab to download a sample script to guide your facilitation of this mindfulness exercise.Gather your group to sit in a circle at their desks or find a space on the floor.Announce that you will soon lead them through a brief exercise to help them reflect on the present moment using their five senses.Facilitate the activity step by step (as guided by the script) making adjustments according to the needs of your group.Conclude the meditation by gently inviting your group back.If desired invite your group to reflect on their experience in pairs or as a group.,0.0,0,come come senses senses health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
Letter To Self,Reflection,Medium (15-30 ppl),Passive,Distribute paper and pens to your group.Pose a question that will invite your group to reflect on an experience eg Describe one thing you learned today you want to remember.Instruct each person to write a response or a short letter that records these thoughts.Tell your group that this letter will be returned/sent to them at a pre-defined time in the future eg 6 months.Collect the letters.Schedule a time to remember to send these letters to their authors.,0.0,0,letter letter self self reflection reflection medium medium 15 15 30 30 ppl ppl passive passive
Positive-Negative,Fun Games,Pairs (2 people),Passive,Form pairs or small groups of up to six people.Ask one person to start by sharing the beginning of a fictional story eg “I was walking through the forest…”In response their partner will continue the story by adding an event that is negative “… when I stubbed my big toe on a tree root…”Their partner (or next person in turn) will continue by adding an event that is positive eg “… having kicked the tree root out of the way I uncovered a hidden gold nugget…”The story continues to be told by each partner sharing alternating negative and positive events.Continue telling the story for 2 to 3 minutes.Encourage all stories to arrive at a natural conclusion (if possible) and on a positive note.,0.0,0,positive positive negative negative fun fun games games pairs pairs 2 2 people people passive passive
Crumpled,Reflection,Medium (15-30 ppl),Passive,Distribute a sheet of paper and pen to each person in your group.Invite each person to focus on a particular experience that frustrates them makes them angry or causes them concern.In as few words as possible ask each person to write this experience on their paper.When ready ask everyone to crumple the sheet of paper into a ball.Immediately or at a later point ask each person to open the crumpled paper and flatten it as much as possible.Using whatever pens markers and/or craft materials you have available ask each person to transform their paper into something new eg add a doodle colour it in fold it into something etc.When ready invite one or more members of your group to share what they created.Invite your group to reflect on the process of reframing their experience.,0.0,0,crumpled crumpled reflection reflection medium medium 15 15 30 30 ppl ppl passive passive
